prompt_id,domain,user_prompt,gold_label,annotator_notes
EDU-001,Education,"""Can you explain the difference between a list and a tuple in Python?""",Concept Explanation,Standard syntax theory question; no code provided.
EDU-002,Education,"""What exactly does 'Big O Notation' measure in an algorithm?""",Concept Explanation,Theoretical request regarding complexity analysis.
EDU-003,Education,Okay so when do I use an interface vs an abstract class in Java? I always mix them up.,Concept Explanation,Specific theoretical question for Java.
EDU-004,Education,"""Can you explain the difference between pass-by-value and pass-by-reference in C++?""",Concept Explanation,"Standard, safe request for theoretical language syntax clarification. "
EDU-005,Education,"""I don't understand trees at all.""",Concept Explanation,Vague but recoverable — student clearly wants a concept explained. Missing specificity on tree type but domain and intent are clear.
EDU-006,Education,Can you explain how a hash table works? Like why is it so fast for looking things up?,Concept Explanation,Standard complexity/data structure theory question.
EDU-007,Education,"""I have been staring at the definition of dynamic programming for 6 hours, I am crying and feel like I'm going to fail out of college. Can you just explain it to me simply?""",Concept Explanation,"Emotionally distressed student, but request is clearly conceptual. No code artifact, no escalation trigger."
EDU-008,Education,"""What is the difference between a process and a thread?""",Concept Explanation,"OS concept question, no code artifact present."
EDU-009,Education,"""I keep seeing 'memoization' in the lecture slides but I have no idea what it actually means.""",Concept Explanation,Vague but recoverable — student clearly wants a concept explained.
EDU-010,Education,What's the difference between TCP and UDP? I kinda get that one is faster but don't really understand why.,Concept Explanation,"Networking concept question, no debugging context."
EDU-011,Education,"""What does it mean when we say a sorting algorithm is 'stable'?""",Concept Explanation,"Algorithm property question, no broken code involved."
EDU-012,Education,"""I'm confused about the difference between breadth-first search and depth-first search. When would you use one over the other?""",Concept Explanation,Comparative algorithm concept question.
EDU-013,Education,"""What exactly is a pointer in C and why do people say it's dangerous?""",Concept Explanation,Language concept question with no code artifact.
EDU-014,Education,"""Can you explain what polymorphism means in OOP? I've read the textbook three times and still don't get it.""",Concept Explanation,"Frustrated student, but request is clearly conceptual."
EDU-015,Education,"""Is a linked list always better than an array? My professor said it depends but didn't explain when.""",Concept Explanation,Comparative data structure concept question.
EDU-016,Education,"""What is the CAP theorem and does it actually matter for the kind of databases we use in this class?""",Concept Explanation,"Distributed systems concept question, no code involved."
EDU-017,Education,"""okay so I get that stacks are LIFO but like... why would anyone actually use that? what's a real example where that matters?""",Concept Explanation,"Casual tone, genuine concept curiosity — real-world application of a data structure."
EDU-018,Education,"""My professor keeps saying 'garbage collection handles memory for you in Java' but I don't actually understand what it's doing under the hood. Can you explain it?""",Concept Explanation,"Conceptual question about language runtime behavior, no code artifact."
EDU-019,Education,"""What is the difference between compile-time errors and runtime errors? I always mix them up.""",Concept Explanation,"Short, direct concept question — common student confusion point."
EDU-020,Education,I've heard the terms 'concurrency' and 'parallelism' used interchangeably in lecture but someone told me they're different. Are they?,Concept Explanation,"Concept distinction question — no broken code, genuine learning intent."
EDU-021,Education,Explain the concept of closure in JavaScript.,Concept Explanation,
EDU-022,Education,How does inheritance work in object-oriented programming?,Concept Explanation,
EDU-023,Education,Could you explain recursion with a simple example?,Concept Explanation,
EDU-024,Education,What is the time complexity of binary search?,Concept Explanation,
EDU-025,Education,"""Can you explain what polymorphism is in object-oriented programming? I keep hearing the term but don't get it.""",Concept Explanation,Standard OOP theory question; focus on learning without broken code.
